,0
1,205
2,112
3,88
4,99
5,74
6,59
7,57
8,38
9,34
10,46
11,38
12,45
13,29
14,27
15,20
16,22
17,25
18,17
19,18
20,15
21,14
22,9
23,7
24,7
25,10
26,8
27,4
28,2
29,3
30,1
31,1
32,2
33,2
34,1
35,1
37,1
38,2
47,1
62,1
