,0
1,607
2,4594
3,924
4,1652
5,525
6,930
7,525
8,528
9,450
10,350
11,253
12,336
13,221
14,322
15,225
16,240
17,187
18,180
19,247
20,100
21,252
150,150
23,69
24,24
25,100
26,104
27,135
28,56
29,58
22,44
31,62
32,96
33,33
34,68
35,105
30,60
37,185
38,76
39,39
40,120
41,123
45,45
47,47
53,53
183,183
56,56
57,57
60,60
62,62
64,64
65,130
66,66
70,140
203,203
76,76
82,82
90,90
108,108
123,123
